RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION
Ces-19377134;DETRACTOR;Certificaciones Especiales;INCLUSION;Obtuve un Dafuturo en una fecha y me la cambiaron para una fecha mas adelante de Varios dirigentes;OTRO
1-31984200521;DETRACTOR;Copia De Documentos Cartera;CLASICO;Que mala experiencia la que me deja el banco que triste que ni si quiera se tomen el tiempo de entender la solicitud solo por salir rapido;INCONFORMIDAD SERVICIO
CES-1024556500;DETRACTOR;Certificaciones Especiales;CLASICO;No dan informacion veras que uno necesita Solo llame para que me dieran el numero de la cuenta y no me dieron ninguna informacion;OTRO
1667234856225-87;DETRACTOR;Copia De Documentos Cartera;CLASICO;Falta mucha comunicacion entre el banco y el usuario, el servicio en los cajeros pesimo, o no hay plata o de 3 cajeros funciona un solo, o estan haciendo aseo y no se pueden utilizar;CLARIDAD INFORMACION
Ces-41553416;DETRACTOR;Certificaciones Especiales;CLASICO;Que debo presentarme a sus oficinas. para resolver mi inquietud Gracias;INCONFORMIDAD SERVICIO
1-32061900740;DETRACTOR;Copia De Documentos Cartera;CLASICO;Son el peor banco con la peor seguridad y el peor servicio;INCONFORMIDAD SERVICIO
Ces-1033744142;DETRACTOR;Certificaciones Especiales;CLASICO;Ok;SIN COMENTARIO
Ces-1070950232;DETRACTOR;Certificaciones Especiales;CLASICO;No solucionan nada;INCONFORMIDAD SERVICIO
Ces-1049640284;DETRACTOR;Certificaciones Especiales;CLASICO;El peor banco que hay;INCONFORMIDAD SERVICIO
Ces-1077872290;DETRACTOR;Certificaciones Especiales;CLASICO;Pesimo servicio;INCONFORMIDAD SERVICIO
Ces-15444241;DETRACTOR;Certificaciones Especiales;CLASICO;Han pasado mas de 20 dias y aun no recibo la tarjeta de credito.;OTRO
Ces-24334503;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo esperando una tarjeta de credito desde hace mes y medio y aun no me dan solucion;OTRO
Ces-79109313;DETRACTOR;Certificaciones Especiales;PREMIUM PLUS;Muy malo el servicio, me senti enganado, publicidad enganosa, entregan un producto que no sirve para nada;INCONFORMIDAD SERVICIO
Ces-80070103;DETRACTOR;Certificaciones Especiales;CLASICO;Pesimo y lo peor realizaron un reporte negativo en datacredito sin realizar alguna notificacion previa;INCONFORMIDAD SERVICIO
Ces-80803254;DETRACTOR;Certificaciones Especiales;CLASICO;NO HE REALIZADO NINGUN PROCESO DE CERTIFICACION ESPECIAL, ME PODRIAN ACLARAR POR FAVOR.;CLARIDAD INFORMACION
Ces-1019013125;DETRACTOR;Certificaciones Especiales;PREMIUM;Necesitaba saber la fecha exacta cuando adquiri un credito con ustedes y me envian certificaciones que no tenian un dato que me interesara... Aparte el banco me envia mensajes amenazando de una supuesto embargo vehicular del numero 6012415086 ,( no tengo deudas con davivienda) ... Todo muy mal ultimamente y filtraciones de informacion que hacen dudar de su confidencialidad con sus clientes.;INCONFORMIDAD SERVICIO
1666121142940-17;DETRACTOR;Levantamiento De Hipoteca;CLASICO;No llego la escritura todavia por favor;ENTREGA DOCUMENTOS
Ces-19364767;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo 3 meses para renovar dinners y no ha Sido posible. El servicio es pesimo;OTRO
Pol-293393;DETRACTOR;Poderes Leasing;CLASICO;No he recibido respuesta a mi solicitud, cada vez que llamo al servicio se corta la llamada y nadie la devuelve. A cada nueva llamada hay que contar el caso completo de nuevo. Pesimo servicio!!;FALTA DE RESPUESTA
Ces-42747694;DETRACTOR;Certificaciones Especiales;CLASICO;Me parece Horrible la atencion tanto en el telefono como presencial yen el Chat, es muy complicada la comunicacion y el trato es mas terrible.;INCONFORMIDAD SERVICIO
Ces-52912384;DETRACTOR;Certificaciones Especiales;CLASICO;La peor experiencia de cliente;INCONFORMIDAD SERVICIO
Ces-74180026;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo un mes y o fue posible desbloquear la targeta indicarme como cancelar esA Targeta;OTRO
Ces-79294766;DETRACTOR;Certificaciones Especiales;CLASICO;Dos veces he informado por su servicio de WhatsApp con un asesor, la direccion correcta para enviar mi tarjeta y en las dos oportunidades la han enviado a otra direccion! Estoy pensando en ir a cancelarla.;INCONFORMIDAD SERVICIO
Ces-79656699;DETRACTOR;Certificaciones Especiales;CLASICO;Funcionarios mentirosos y sin escrupulos;INCONFORMIDAD SERVICIO
1667335195919-10;DETRACTOR;Copia De Documentos Cartera;CLASICO;Llevo un mes solicitando un documento donde me autoricen realizar la obra blanca de un apartamento que adquiri con leasing y no me han podido solucionar;DEMORA TRAMITE
Ces-1020743865;DETRACTOR;Certificaciones Especiales;CLASICO;La seguridad del documento no permite imprimirlo, deben ajustar el formato y habilitar la opcion de imprimir.;ENTREGA DOCUMENTOS
Ces-1031141694;DETRACTOR;Certificaciones Especiales;CLASICO;Termine de pagar mi credito y no tengo acceso a ningun tipo de credito con el banco;OTRO
Ces-1122402883;DETRACTOR;Certificaciones Especiales;CLASICO;Pesimo servicio;INCONFORMIDAD SERVICIO
Ces-40078948;DETRACTOR;Certificaciones Especiales;CLASICO;Mas de un mes para que me hagan entrega de la nueva tarjeta de credito y nefasto el tema de mensajeria, mas de tres veces me dejaron esperando en la casa y nunca llego;DEMORA TRAMITE
Ces-41571145;DETRACTOR;Certificaciones Especiales;CLASICO;Inmediatamente despues de realizar un requerimiento, se responde una encuesta, calificando el servicio recibido por el cliente, sin saber cual va a ser el resultado final, y es ahi donde se origina el problema, porque se piensa que el empleado gestiona el requerimiento correctamente, pero lamentablemente la gran mayoria de ellos carecen de actitud y aptitud, no conocen la responsabilidad ni la seriedad. Debido a gente asi, Davivienda tiene su imagen muy deteriorada. Se nota que no hay una buena seleccion del personal y el perjudicado siempre es el cliente. Lastima el dinero que se paga por el servicio del portafolio. Por favor, hagan algo por mejorar!!!;INCONFORMIDAD SERVICIO
Ces-43801176;DETRACTOR;Certificaciones Especiales;CLASICO;La tramitologia de estudes es mucha, complicada, extensa y no me resolvieron la solicitud;INCONFORMIDAD SERVICIO
1665086901296-59;DETRACTOR;Levantamiento De Hipoteca;CLASICO;La calificacion que le doy es porque nunca tienen respuesta para las dudas los asesores y ademas durante el tramite que se realizo con ustedes del levantamiento de hipoteca iba bien hasta que ustedes no le proporcionaron una informacion a la notaria 29 Delos datos a la solicitud del levantamiento de dieron a la notaria 29 otro correo. Electronico Telefono y otro nombre de una persona desconocida que al momento me siento no sastifecha ya que los documentos y la informacion de mi padre que paaz descance estan en el correo de otra persona que no conozco y la informacion y documentos confidenciales como escrituras declaratoria ya que me acerque a sus oficina y no me dieron respuesta.;CLARIDAD INFORMACION
CES-43663693;DETRACTOR;Certificaciones Especiales;PREMIUM;Tuve que escalar la queja a la superintendencia financiera para solucionar el problema;INCONFORMIDAD SERVICIO
Ces-79915730;DETRACTOR;Certificaciones Especiales;CLASICO;Me siento muy desilusionado por tanto complique para la entrega de una tarjeta, me parece imposible que no encuentren ninguna direccion, ni la de mi trabajo ni la de mi residencia espero solucionen mi inconveniente este ano;OTRO
Ces-30871908;DETRACTOR;Certificaciones Especiales;CLASICO;Deben brindar la asesoria real hacerla de la tarjeta, mas no enganar a los usuarios. Nunca se me informo que si no usaba la tarjeta debia pagar manejo de tarjeta. Me toco pagar dos meses de manejo de tarjeta sin hacer uso de ella. Me parece un robo y falta de respeto.;OTRO
Pol-34555348;DETRACTOR;Poderes Leasing;PREMIUM;El pago de impuestos por parte de los usuarios deberia ser mas facil y poder bajar desde la pagina de Davivienda desde la pagina;INCONFORMIDAD SERVICIO
1-31422607682;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);PREMIUM;No hay facilidades ni tasas preferenciales para los cambios de uvr a pesos. Se inicia por call center pero se continua por email, muy impersonal y sin margen de negociacion No envian una nueva proyeccion mes a mes de como queda el credito una vez aprobado El valor de la cuota queda por encima del indicado inicialmente. En la oficina al inicio del credito no explican que hay que introducir nuevamente todos los documentos y soportes para hacer el cambio de moneda y que se hace un nuevo estudio.;INCONFORMIDAD SERVICIO
Ces-52801737;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo mas de 15 dias y aun no me resuelven mi solicitud;FALTA DE RESPUESTA
Ces-94281420;DETRACTOR;Certificaciones Especiales;PREMIUM;Terrible, es lo peor que tristeza el trato con el usuario ojala esto cambie en el pais. Ustedes no pueden seguir abusando de la gente;INCONFORMIDAD SERVICIO
Ces-1030626267;DETRACTOR;Certificaciones Especiales;CLASICO;Mala no entregan los servicios que prometen demasiada mala atencion;INCONFORMIDAD SERVICIO
1-32302937753;DETRACTOR;Copia De Documentos Cartera;CLASICO;Las proyecciones del leasing no fueron enviadas sino hasta que tuve que realizar nuevamente la solicitud, me informan que supuestamente seria solucionada la solicitud el mismo dia, lo cual no fue asi, repito: informacion escasa al solicitar el producto, atencion pesima el dia de firma de los documentos, nunca nos dieron copia de los mismos, por ello se realizara el pago total de la obligacion, cierre de productos con este banco y se hara la respectiva denuncia antes organismos de control.;INCONFORMIDAD SERVICIO
Ces-1012368974;DETRACTOR;Certificaciones Especiales;CLASICO;Los asesores insisten en que adquiera productos aun cuando manifiesto no estar interesado en ellos;OTRO
Pol-1018430783;DETRACTOR;Poderes Leasing;CLASICO;No saben de los procesos y no dan respuesta a las solicitudes;CLARIDAD INFORMACION
Ces-14947113;DETRACTOR;Certificaciones Especiales;CLASICO;Mala atencion,incumplimiento,malservicio;INCONFORMIDAD SERVICIO
Ces-19439820;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo 2 meses sin tarjeta;OTRO
Ces-36181337;DETRACTOR;Certificaciones Especiales;CLASICO;Me estan preguntando por la calidad de la entrega de una tarjeta de Credito y yo no he recibido nada.;OTRO
Ces-4228581;DETRACTOR;Certificaciones Especiales;CLASICO;Buenas noches tube que solicitar dos veces la reexpedicion de la tarjeta de credito;OTRO
Pol-51565493;DETRACTOR;Poderes Leasing;CLASICO;Aun estoy esperando copia del chat del dia lunes y los documentos que necesito para pedir el recibo de pago de predial y el cambio de notaria, Pesimo el servicio.;ENTREGA DOCUMENTOS
1668634929129-72;DETRACTOR;Copia De Documentos Cartera;CLASICO;Despues de 30 minutos en la llamada, y haber pasado por dos funcionarios, la segunda dijo: espere un momento en linea y al cabo del rato, me paso a un encuesta y dieron por terminado mi solicitud. Ahora me llego copias de mis pagares y como el estudio de credito, no se para que, pero el listado o desagregacion de mis pagos, mes a mes nunca llego. Requiero me envien, la aplicacion de cada uno de los pagos realizados al credito.;FALTA DE RESPUESTA
Ces-52998475;DETRACTOR;Certificaciones Especiales;CLASICO;Muy insatisfecha con Davivienda, soy una muy buena cliente.;INCONFORMIDAD SERVICIO
Ces-5712017;DETRACTOR;Certificaciones Especiales;PREMIUM PLUS;Los intereses demasiado Altos.es una usura;OTRO
1668612628069-11;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Para cobrar, lo llaman a uno todo el tiempo. No dan compas de espera. Pero para dar los pax y salvos ahi si se toman todo el tiempo de la vida. Muy Mal.;ENTREGA DOCUMENTOS
Ces-80792189;DETRACTOR;Certificaciones Especiales;CLASICO;Es injusto tener que cancelar mi producto por que ustedes no tienen control a sus procesos;INCONFORMIDAD SERVICIO
1666961162113-18;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Banco Davivienda. Pesimo. No lo recomiendo a nadie;INCONFORMIDAD SERVICIO
Ces-42748982;DETRACTOR;Certificaciones Especiales;CLASICO;Malisima la atencin. Nadie sabe ni responde nada;CLARIDAD INFORMACION
1-32414193470;DETRACTOR;Copia De Documentos Cartera;PREMIUM;Los procesos son muy lentos para todos los pasos para legalizar un leasing y la Abogada de Monteria la mas lenta y ocupadisima segun ella y no cumple lo que dice. No volveria JAMAS a tener un producto leasing con Ustedes son pesimos.;DEMORA TRAMITE
Ces-79648135;DETRACTOR;Certificaciones Especiales;CLASICO;Pago un credito y tengo un saldo a favor y llamame y si tengo el saldo a favor pero fui al banco y que es un error y vuelvo y llamo a cartera y que si esta el saldo a favor pasan 3 dias y vuelvo al banco y me dicen que no aparece nada . como se roban el dinero de la jente tan facil y ni se ponen de acuerdo para robar;CLARIDAD INFORMACION
1666185946982-82;DETRACTOR;Levantamiento De Hipoteca;CLASICO;*se demoran mucho en responder. *le dicen una cosas a uno y salen con otra;DEMORA TRAMITE
1666293342654-60;DETRACTOR;Levantamiento De Hipoteca;CLASICO;*deberian tener una linea donde uno se pueda comunicar.;INCONFORMIDAD SERVICIO
1-31515891625;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;la experiencia fue muy desagradable yo realice el pago para la asesoria me indicaron que no por esto se demoro dos semanas mas y llamaba a ciencuadras y se demoraban dos horas para responder;DEMORA TRAMITE
1665674810883-21;DETRACTOR;Levantamiento De Hipoteca;CLASICO;* la persona que me ayudo fue el notario 30 *pesimo , no tiene uno donde comunicarse , hace uno las filas y no lo atienden , dicen que aca no es;INCONFORMIDAD SERVICIO
1665690283985-86;DETRACTOR;Levantamiento De Hipoteca;CLASICO;CON DAVIVIENDA ME A IDO MUY BIEN PERO CON 100 CUADRAS ES HORRIBLE YO TENGO TODO CON DAVIVIENDA PERSONAL Y EMPRESARIAL PERO ESA EMPRESA LOS HACE CAER MUY MAL. ES HORRIBLE EL SERVICIO DE ELLOS;INCONFORMIDAD SERVICIO
1665783680722-27;DETRACTOR;Levantamiento De Hipoteca;CLASICO;no me han dado respuesta que hayan mas medios de comunicacion para saber como va el proceso;FALTA DE RESPUESTA
1665759229777-71;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;AUN ESTOY ESPERANDO PORQUE NO ME HAN RESUELTO NADA TODAVIA ESTOY ESPERANDO EL PERFECCIONAMIENTO 100 CUADRAS NO ES LA MEJOR ASESORIA FUI A LA NOTARIA Y DIJERON QUE DESASTRE LOS ASESORES JURIDICOS QUE LOS CAMBIARAN POR LOS ANTERIORES QUE SI ERAN EFECTIVOS;FALTA DE RESPUESTA
1-31630798832;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;EL PROBLEMA ES CON EL ALIADO DE DAVIVIENDA OSEA 100 CUADRAS ES MALISIMO Y ES UNA LASTIMA QUE EL BANCO CUENTE CON UNA EMPRESA TAN MALA PARA LOS TEMAS HIPOTECARIOS;INCONFORMIDAD SERVICIO
Ces-79306045;DETRACTOR;Certificaciones Especiales;CLASICO;Ustedes son los mas carros del. Mercado y pienso que son muy. Ladrones si yo. Ya habia pagado 36 cuotas y luego me cobran dizque un capital de 76800 muy descarados jamas recomendare este banco para un credito y desde luego jamas sacare algo con ustedes;OTRO
Ces-39626903;DETRACTOR;Certificaciones Especiales;CLASICO;Me perjudicaron financieramente, me suplantaron no tienen las medidas de seguridad, permitiendo acceso a delicuentes;OTRO
Ces-74346926;DETRACTOR;Certificaciones Especiales;CLASICO;Muy demorada la entrega de mi targeta, tienen un medio de correspondencia muy pesimo, no les importa el cliente, no van a destino indicado para hacer la entrega, tampoco se comunican con el cliente !!!;OTRO
Ces-37752337;DETRACTOR;Certificaciones Especiales;INCLUSION;Estoy solicitando actualizar la direccion de la garantia del credito hipotecario y nadie me da una solucion,todos dicen que no es con ellos,cartera ya no existe en fisico y los asesores y directores de oficinas no saben los nuevos procesos, no entiendo las politicas de servicio del banco. Llevo dos semanas esperando y no logro que la actualicen, que triste, muy mala atencion.;FALTA DE RESPUESTA
Ces-51866212;DETRACTOR;Certificaciones Especiales;PREMIUM;No pude pagar mis productos desde otra Ciudad, quede en mora y me quitaron los beneficios de una. Cuando en mi historial no hay incumplimiento Me senti desepcionada, impotente porque por mas que me comunique como mas de 10 veces no pude pagar mis obligaciones desde otra Ciudad;OTRO
Ces-52053609;DETRACTOR;Certificaciones Especiales;CLASICO;Sigo en espera de un paz y salvo de la cancelacion de la tarjeta de credito;FALTA DE RESPUESTA
1660333992688-18;DETRACTOR;Poderes Leasing;PREMIUM;No por parte de la asesora de ciudad Bolivar, muy malo el servicio por parte de la abogada que hizo todo el tramite. Parece pidiendo limosna uno como cliente y delegando en abogados sustitutos que no son expertos ademas lo mas grave es que se tapa con los directivos de Davivienda. Sabiendo que yo soy abogado especialista y conozco cuando dicen mentiras. Ademas me toco pagar una multa al vendedor por negligencia del banco. Me toco hacer la vuelta personal para poder pagar los impuestos este año que paso. No recomendaria hacer este credito con ustedes. Feliz dia;INCONFORMIDAD SERVICIO
1671712173954-50;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;El proceso de levantamiento de prenda con Uds. no fue malo, simplemente requirio diligencias adicionales que no esperaba. Mi calificacion se refiere en terminos generales al servicio de prestamo con prenda de vehiculo que me ofrecieron, del cual si estoy muy insatisfecho porque arbitrariamente me suscribieron a la aseguradora del grupo Davivienda (Bolivar) a pesar de que fui una persona puntual y responsable con mis pagos y compromisos. Por eso no los recomiendo para nada.;OTRO
1669910427528-33;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;No he podido hacer el levantamiento de prenda por que davivienda no realizo la inscripcion de la prenda en el runt;INCONFORMIDAD SERVICIO
Ces-1136888262;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo 3 semanas sin tarjeta de credito, nadie me da razon de donde esta y solo me dicen que no la han podido entregar mi direccion sin una justificacion valida, voy a pagar el saldo pendiente de mi tarjeta y me voy a retirar del banco;OTRO
Ces-19449353;DETRACTOR;Certificaciones Especiales;CLASICO;Me informo el asesor que al bloquar la tarjeta de credito automaticamente me reexprdian otra sin costo y veo que estan cobrando $25000 lo cual elevare la respectiva queja ante la super y no acepto acepto la tarjeta;OTRO
Ces-51975130;DETRACTOR;Certificaciones Especiales;PREMIUM PLUS;Llevo tres solicitudes para liberar un leasing de un carro particular y no ha sido posible, dice la respuesta negado por sapli y nadie sabe que es eso;CLARIDAD INFORMACION
Ces-52341791;DETRACTOR;Certificaciones Especiales;CLASICO;Pesimo el servicio de la linea telefonica. Los asesores no saben nada. Cada uno da informacion diferente de un mismo proceso. Igual toca ir a las oficinas..en general el servicio ya no es el mismo. Ahora no respetan a los clientes en la atencion.;CLARIDAD INFORMACION
Ces-79903698;DETRACTOR;Certificaciones Especiales;PREMIUM;Si Davivienda me vende un producto como compra de cartera y se presenta un problema con la otra entidad como es el caso con el BBVA, Davivienda deberia ser la que se pone en contacto con ellos y gestiona la resolucion del problema, llevo mas de un mes tratando que me solucionen esta compra de cartera, lo unico que me queda es no recomendar a Davivienda a amigos y familiares pues tener perdidos 8 millones de pesos no es una buena experiencia para nadie, a la fecha sigo sin resolver el asunto.;OTRO
Ces-32512192;DETRACTOR;Certificaciones Especiales;CLASICO;Es el colmo que no me avisan en Momento de suspension de la tarjeta de credito;OTRO
Ces-43013942;DETRACTOR;Certificaciones Especiales;CLASICO;Buenos dias los califique mal porque no he tramitado ninguna solicitud gracias por favor verificar la solicitud que no es mia;CLARIDAD INFORMACION
Ces-3107760098;DETRACTOR;Certificaciones Especiales;PREMIUM;Muy mala, ya un dia anterior me habian Enviado el tipo de documento.qie necesitaba, solo que me lo enviaron del leasing equivocada y esta segunda vez dicen que ese documento debe ser Fisico y que se demora 30 dias, ademas no entiendo por que hay que sacar ese documento para enviarselo a un senor que me va a comprar el.apartamento y que esta tomando el.credito.con Davivienda, porque no pueden gestionar eso internamente ustedes?;ENTREGA DOCUMENTOS
1-32486202033;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;Si es el documento de copia se contrato leasing mal;ENTREGA DOCUMENTOS
1-33527953721;DETRACTOR;Poderes Leasing;CLASICO;No obtuve la liquidacion para pagar predial sino unos documentos de poderes que no fue lo que solicite;ENTREGA DOCUMENTOS
1665580612924-58;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Actualice mis datos de correo electronico en oficina de forma presencial y no hubo articulacion de la misma con la notaria, por tanto se retraso todo. No es justo el doble cobro de escrituras. Cuando se compra y cuando se termina de pagar la vivienda. Una vez pagado el proceso de levantamiento de hipoteca, dos meses despues y aun no ha terminado el proceso.;INCONFORMIDAD SERVICIO
Ces-1026270326;DETRACTOR;Certificaciones Especiales;CLASICO;Pesima atencion no me han solucionado mi solicitud la hice en Davivienda de Unicentro Pereira;FALTA DE RESPUESTA
Ces-1061802686;DETRACTOR;Certificaciones Especiales;CLASICO;Los documentos llegaron doblados y en mal estado.;ENTREGA DOCUMENTOS
Ces-5416540;DETRACTOR;Certificaciones Especiales;CLASICO;No me aclaro de donde les debo millon y algo de un credito que lo pague con meses y pandemia y no esta claro cuando me acercaba para recibir informacion nunca cuadraba los valores ni del cajero ni de la persona que me atendio Sigo en espera que me digan de que les debo ese monto tengo los pagos y no me arroja deuda alguna y me cobran en un documento de paz y Salvo que les requeri;OTRO
Pol-52064384;DETRACTOR;Poderes Leasing;CLASICO;La ultima persona que me atendio pudo solucionar en parte mi problema, y fue muy amable, porque ya eran como 5 asesores que no sabian ni se interesaban en solucionar mi requerimiento, lo unico que hacian era pasarme de asesor en asesor o colgarme el telefono. En conclusion no me han resuelto mi problema.;CLARIDAD INFORMACION
Ces-35418943;DETRACTOR;Certificaciones Especiales;CLASICO;No he entrado a solicitar ningun servicio o solicitud de atencion al cliente .. ya no soy cliente de davivienda tuve historia de fraude por medio del banco .... porfavor revisen me preocupa que me esten suplantando.;CLARIDAD INFORMACION
Ces-38644593;DETRACTOR;Certificaciones Especiales;CLASICO;Mi experiencia no fue nada buena hice la solicitud de la TC en la tienda tugo, donde suministre toda la informacion para que la tarjeta fuera entregada en mi residencia, lo cual no sucedio, recibi dos mensajes de texto informando que la TC no pudo ser entregada y colocan una direccion totalmente diferente, y en una ciudad en la cual no vivo. Lo tiempos de espera en el telefono rojo son entre 15-20min, es desgastante llamar a esta linea. Adicionalmente tengo un credito con ustedes, deben tener la informacion requerida para la entrega del plastico, nunca recibi una llamada de un asesor para validar informacion e informar lo ocurrido, todo fue por mensajes, que lo vi de forma incidental porque no suelo usar esa aplicacion. Espero esta inconformidad sirva para mejorar los procesos;OTRO
Pol-43252762;DETRACTOR;Poderes Leasing;CLASICO;Muy mala asesoria, no hay respuesta oportuna o incluso nunca hay respuesta, ha desmejorado mucho el banco;FALTA DE RESPUESTA
1673043107696-38;DETRACTOR;Certificaciones Especiales;CLASICO;Porfavor que sean mas claros con la informacion y que los tramites sean mas rapidos;CLARIDAD INFORMACION
Ces-57433987;DETRACTOR;Certificaciones Especiales;CLASICO;Yo cancele mi deuda desde el 16 de diciembre y todavia me tienen en castigo de cartera me tiene atada soy madre cabeza se hogar mi esposo fallecio necesito prestar para cancelar los colegio de mis hijos y el castigo de cartera no le ha dejado hacer nada;OTRO
Ces-79493156;DETRACTOR;Certificaciones Especiales;CLASICO;Es un abuso que un cliente de muchos anos le hayan cobrado nuevamente cuota de manejo de la tarjeta de credito... pesimo trato a los clientes cumplidos.;OTRO
Ces-87472036;DETRACTOR;Certificaciones Especiales;CLASICO;La verdad llevo esperando el paz y salvo al producto cancelado desde finales de Diciembre eso me preocupa ya que no han sido oportunos en mi requerimiento;ENTREGA DOCUMENTOS
1671543506526-03;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Mucho mensaje de calificacion de un servicio no recibido. Sean serios.;INCONFORMIDAD SERVICIO
Ces-1020822648;DETRACTOR;Certificaciones Especiales;CLASICO;Mucha demora para la entrega de una tarjeta y no dan solucion en sus canales de atencion solo hicieron seguimiento a la solicitud cuando inicie proceso con la superintendencia;OTRO
Ces-1024505690;DETRACTOR;Certificaciones Especiales;CLASICO;La verdad manejo mi cuenta de ahorros.. Ya no me llegan ni los mensajes de consignacion Cuento con credito hipotecario y e tratado de abrir el app y ni en el banco ni por llamadas me solucionan el uno me manda para el otra y nada la tengo bloqueada me parece muy mala la atencion;INCONFORMIDAD SERVICIO
1-32980317307;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Llevan 8 dias tratando de hacer el traspaso del vehiculo y me sale un supuesto bloqueo de Davivienda No entiendo si ya la prensa fue levantada osea paga y ya tenia la carta de liberacion Porque se complican y me complican Muy mal servicio;INCONFORMIDAD SERVICIO
Ces-1041255750;DETRACTOR;Certificaciones Especiales;CLASICO;Muy deficiente con el servicio nunca pude recibir la tarjeta y eso que tuve la delicadeza de llamar para gestionar la entrega;OTRO
Ces-19378779;DETRACTOR;Certificaciones Especiales;CLASICO;En la sucursal de davivienda mall plaza esteroide en la oficina mas de 3 horas y no pudieron dar solucion incluyendo la directora...y pesima atencion por parte de la Directora...;OTRO
Ces-24336011;DETRACTOR;Certificaciones Especiales;CLASICO;La gente no sabe dar respuesta y super mala atencion;CLARIDAD INFORMACION
Ces-24337444;DETRACTOR;Certificaciones Especiales;CLASICO;La peor experiencia que he tenido, me fue mal en cada proceso y cada informacion brindada;INCONFORMIDAD SERVICIO
1670442671122-47;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Ninguno;SIN COMENTARIO
1669752523856-40;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;en davivienda no previeron los documentos para que los clientes firmen ante el abogado y asi poder tener las escrituras no el cliente buscar todo;INCONFORMIDAD SERVICIO
