RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION;f
1681500649607-53;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;ninguno;SIN COMENTARIO;7
1-35202823550;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;ninguno;SIN COMENTARIO;7
Pol-42104968;DETRACTOR;Poderes Leasing Call Center;PREMIUM;gracias;SIN COMENTARIO;7
CES-79713051;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ninguno;SIN COMENTARIO;7
1678377524010-68;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;ningunio;SIN COMENTARIO;8
1678377524010-68;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;ningunio;SIN COMENTARIO;8
Ces-32693594;DETRACTOR;Certificaciones Especiales;CLASICO;Excelente;OTRO;9
1-42080392573;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;EXCELENTE;SIN COMENTARIO;9
1-42080392573;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;excelente;SIN COMENTARIO;9
Ces-1102359083;DETRACTOR;Certificaciones Especiales;CLASICO;Me reservo;SIN COMENTARIO;10
POL-93340515;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NO REFIERE;SIN COMENTARIO;10
Ces-1102359083;DETRACTOR;Certificaciones Especiales;CLASICO;me reservo;SIN COMENTARIO;10
POL-93340515;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;no refiere;SIN COMENTARIO;10
1699370123578-24;DETRACTOR;Levantamiento De Hipoteca;CLASICO;NO REFIERE.;SIN COMENTARIO;11
1699370123578-24;DETRACTOR;Levantamiento De Hipoteca;CLASICO;no refiere.;SIN COMENTARIO;11
Ces-24332537;DETRACTOR;Certificaciones Especiales;CLASICO;No contestan;SIN COMENTARIO;12
1-36367845678;DETRACTOR;Perfeccionamiento De Leasing;INCLUSION;Sin resolver;DEMORA TRAMITE;12
CES-64562341;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MUY DEMORADO;DEMORA TRAMITE;12
Ces-24332537;DETRACTOR;Certificaciones Especiales;CLASICO;no contestan;SIN COMENTARIO;12
1-36367845678;DETRACTOR;Perfeccionamiento De Leasing;INCLUSION;sin resolver;DEMORA TRAMITE;12
CES-64562341;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;muy demorado;DEMORA TRAMITE;12
1703689313910-24;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;TODO MUY BIEN;SIN COMENTARIO;13
1703689313910-24;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;todo muy bien;SIN COMENTARIO;13
1-37858592371;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;sin comentario;SIN COMENTARIO;14
POL-52254273;DETRACTOR;Poderes Leasing Call Center;PREMIUM PLUS;SIN COMENTAROS;SIN COMENTARIO;14
1-37858592371;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;sin comentario;SIN COMENTARIO;14
POL-52254273;DETRACTOR;Poderes Leasing Call Center;PREMIUM PLUS;sin comentaros;SIN COMENTARIO;14
Ces-1023886457;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Mala atenciones;OTRO;15
1690305741355-49;DETRACTOR;Certificaciones Especiales;CLASICO;*sin comentario;SIN COMENTARIO;15
CES-1082773225;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Sin comentarios;SIN COMENTARIO;15
-;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;SIN COMENTARIOS;SIN COMENTARIO;15
CES-1143835788;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMA ATENCION;OTRO;15
1700153314330-06;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;SIN COMENTARIOS;SIN COMENTARIO;15
1697730052925-88;DETRACTOR;Levantamiento De Hipoteca;CLASICO;SIN COMENTARIOS;SIN COMENTARIO;15
POL-80734324;DETRACTOR;Poderes Leasing Call Center;CLASICO;SIN COMENTARIOS;SIN COMENTARIO;15
1-42734769046;DETRACTOR;Poderes Leasing;CLASICO;NADA ADICIONAL.;SIN COMENTARIO;15
CES-1007684107;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;UN MAL SERVICIO;SIN COMENTARIO;15
1690305741355-49;DETRACTOR;Certificaciones Especiales;CLASICO;*sin comentario;SIN COMENTARIO;15
CES-1082773225;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;sin comentarios;SIN COMENTARIO;15
-;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;sin comentarios;SIN COMENTARIO;15
1700153314330-06;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;sin comentarios;SIN COMENTARIO;15
1697730052925-88;DETRACTOR;Levantamiento De Hipoteca;CLASICO;sin comentarios;SIN COMENTARIO;15
POL-80734324;DETRACTOR;Poderes Leasing Call Center;CLASICO;sin comentarios;SIN COMENTARIO;15
1-42734769046;DETRACTOR;Poderes Leasing;CLASICO;nada adicional.;SIN COMENTARIO;15
CES-1007684107;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;un mal servicio;SIN COMENTARIO;15
1675721016214-44;DETRACTOR;Levantamiento De Hipoteca;CLASICO;sin observacion.;SIN COMENTARIO;16
1698442210226-90;DETRACTOR;Poderes Leasing;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO;16
1-39011365546;DETRACTOR;Copia De Documentos Cartera;CLASICO;SIN COMERNTARIOS;SIN COMENTARIO;16
1-39985270105;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;.SIN COMENTARIOS;SIN COMENTARIO;16
1706715988274-72;DETRACTOR;Poderes Leasing;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO;16
1706716743459-33;DETRACTOR;Certificaciones Especiales;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO;16
1707499290016-36;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM PLUS;.SIN COMENTARIOS;SIN COMENTARIO;16
1-42288826789;DETRACTOR;Poderes Leasing;CLASICO;SIN COMENTARIOS.;SIN COMENTARIO;16
1-42512517957;DETRACTOR;Copia De Documentos Cartera;CLASICO;NO ME HA LLEGADO;FALTA DE RESPUESTA;16
1-42826100412;DETRACTOR;Copia De Documentos Cartera;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO;16
1706902028118-79;DETRACTOR;Certificaciones Especiales;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO;16
1-42421971593;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO;16
POL-32243430;DETRACTOR;Poderes Leasing Call Center;PREMIUM;.SIN COMENTARIOS;SIN COMENTARIO;16
1719336244233-51;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO;16
POL-52764945;DETRACTOR;Poderes Leasing Call Center;PREMIUM;.SIN COMENTARIOS;SIN COMENTARIO;16
1715973622841-05;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;.SIN COMENTARIOS;SIN COMENTARIO;16
1-46259866981;DETRACTOR;Copia De Documentos Cartera;CLASICO;.SIN COMENTRAIOS;SIN COMENTARIO;16
1675721016214-44;DETRACTOR;Levantamiento De Hipoteca;CLASICO;sin observacion.;SIN COMENTARIO;16
1698442210226-90;DETRACTOR;Poderes Leasing;CLASICO;.sin comentarios;SIN COMENTARIO;16
1-39011365546;DETRACTOR;Copia De Documentos Cartera;CLASICO;sin comerntarios;SIN COMENTARIO;16
1-39985270105;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;.sin comentarios;SIN COMENTARIO;16
1706715988274-72;DETRACTOR;Poderes Leasing;CLASICO;.sin comentarios;SIN COMENTARIO;16
1706716743459-33;DETRACTOR;Certificaciones Especiales;CLASICO;.sin comentarios;SIN COMENTARIO;16
1707499290016-36;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM PLUS;.sin comentarios;SIN COMENTARIO;16
1-42288826789;DETRACTOR;Poderes Leasing;CLASICO;sin comentarios.;SIN COMENTARIO;16
1-42512517957;DETRACTOR;Copia De Documentos Cartera;CLASICO;llegado me ha no;FALTA DE RESPUESTA;16
1-42826100412;DETRACTOR;Copia De Documentos Cartera;CLASICO;.sin comentarios;SIN COMENTARIO;16
1706902028118-79;DETRACTOR;Certificaciones Especiales;CLASICO;.sin comentarios;SIN COMENTARIO;16
1-42421971593;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.sin comentarios;SIN COMENTARIO;16
POL-32243430;DETRACTOR;Poderes Leasing Call Center;PREMIUM;.sin comentarios;SIN COMENTARIO;16
1719336244233-51;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.sin comentarios;SIN COMENTARIO;16
POL-52764945;DETRACTOR;Poderes Leasing Call Center;PREMIUM;.sin comentarios;SIN COMENTARIO;16
1715973622841-05;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;.sin comentarios;SIN COMENTARIO;16
1-46259866981;DETRACTOR;Copia De Documentos Cartera;CLASICO;.sin comentraios;SIN COMENTARIO;16
Ces-1013632661;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Nunca contestaron;DEMORA TRAMITE;17
1694636267216-28;DETRACTOR;Poderes Leasing;CLASICO;* sin comentarios;SIN COMENTARIO;17
1695925944030-48;DETRACTOR;Poderes Leasing;CLASICO;ningun comentario;SIN COMENTARIO;17
1-38306931379;DETRACTOR;Copia De Documentos Cartera;CLASICO;ningun comentario;SIN COMENTARIO;17
1-37844082338;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;NINGUN COMENTARIO;SIN COMENTARIO;17
CES-1030689148;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;POR EL MOMENTO NO;SIN COMENTARIO;17
CES-5092684;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NINGUN COMENTARIO;SIN COMENTARIO;17
1715096523433-12;DETRACTOR;Certificaciones Especiales;CLASICO;NINGUN COMENTARIO;SIN COMENTARIO;17
1720469954703-98;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NINGUN COMENTARIO;SIN COMENTARIO;17
1722006211511-87;DETRACTOR;Levantamiento Prenda Vehiculo Digital;CLASICO;NINGUN COMENTARIO;SIN COMENTARIO;17
Ces-1013632661;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;nunca contestaron;DEMORA TRAMITE;17
1694636267216-28;DETRACTOR;Poderes Leasing;CLASICO;* sin comentarios;SIN COMENTARIO;17
1695925944030-48;DETRACTOR;Poderes Leasing;CLASICO;ningun comentario;SIN COMENTARIO;17
1-38306931379;DETRACTOR;Copia De Documentos Cartera;CLASICO;ningun comentario;SIN COMENTARIO;17
1-37844082338;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;ningun comentario;SIN COMENTARIO;17
CES-1030689148;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;momento el por no;SIN COMENTARIO;17
CES-5092684;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ningun comentario;SIN COMENTARIO;17
1715096523433-12;DETRACTOR;Certificaciones Especiales;CLASICO;ningun comentario;SIN COMENTARIO;17
1720469954703-98;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;ningun comentario;SIN COMENTARIO;17
1722006211511-87;DETRACTOR;Levantamiento Prenda Vehiculo Digital;CLASICO;ningun comentario;SIN COMENTARIO;17
CES-38251361;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ATIENDEN RAPIDO;DEMORA TRAMITE;18
CES-38251361;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;no atienden rapido;DEMORA TRAMITE;18
CES-52717676;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM PLUS;NADIE ME HA LLAMADO;FALTA DE RESPUESTA;19
1-41209867054;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;. NINGUN COMENTARIO;SIN COMENTARIO;19
1722960364360-92;DETRACTOR;Poderes Leasing;CLASICO;NINGUNO POR MOMENTO;SIN COMENTARIO;19
CES-52717676;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM PLUS;nadie me ha llamado;FALTA DE RESPUESTA;19
1-41209867054;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;. ningun comentario;SIN COMENTARIO;19
1722960364360-92;DETRACTOR;Poderes Leasing;CLASICO;ninguno por momento;SIN COMENTARIO;19
Ces-52059202;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Cobra cuotas demas .;CLARIDAD INFORMACION;20
1697659585384-13;DETRACTOR;Poderes Leasing;CLASICO;Aun no me solucionan;FALTA DE RESPUESTA;20
1-42812477109;DETRACTOR;Copia De Documentos Cartera;CLASICO;AGILIDAD Y EL TIEMPO;DEMORA TRAMITE;20
1708457100577-55;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;.ES DEMASIADO TIEMPO;DEMORA TRAMITE;20
Ces-52059202;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;cobra cuotas . demas;CLARIDAD INFORMACION;20
1697659585384-13;DETRACTOR;Poderes Leasing;CLASICO;aun no me solucionan;FALTA DE RESPUESTA;20
1-42812477109;DETRACTOR;Copia De Documentos Cartera;CLASICO;agilidad y el tiempo;DEMORA TRAMITE;20
1708457100577-55;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;.es demasiado tiempo;DEMORA TRAMITE;20
CES-51681224;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME DIERON SOLUCION;OTRO;21
1700081724775-43;DETRACTOR;Levantamiento De Hipoteca;CLASICO;SIN NINGUN COMENTARIO;SIN COMENTARIO;21
1-40274482057;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;SIN NINGUN COMENTARIO;SIN COMENTARIO;21
POL-1091660202;DETRACTOR;Poderes Leasing Call Center;CLASICO;SIN NINGUN COMENTARIO;SIN COMENTARIO;21
1-40805931739;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;SIN NINGUN COMENTARIO;SIN COMENTARIO;21
CES-1094913182;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMA MAS QUE PESIMA;SIN COMENTARIO;21
1-41978723740;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);CLASICO;SIN NINGUN COMENTARIO;SIN COMENTARIO;21
1-41807400616;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;SIN NINGUN COMENTARIO;SIN COMENTARIO;21
1700081724775-43;DETRACTOR;Levantamiento De Hipoteca;CLASICO;sin ningun comentario;SIN COMENTARIO;21
1-40274482057;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;sin ningun comentario;SIN COMENTARIO;21
POL-1091660202;DETRACTOR;Poderes Leasing Call Center;CLASICO;sin ningun comentario;SIN COMENTARIO;21
1-40805931739;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;sin ningun comentario;SIN COMENTARIO;21
CES-1094913182;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;pesima mas que pesima;SIN COMENTARIO;21
1-41978723740;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);CLASICO;sin ningun comentario;SIN COMENTARIO;21
1-41807400616;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;sin ningun comentario;SIN COMENTARIO;21
Ces-79158066;DETRACTOR;Certificaciones Especiales Call Center;BANCA PRIVADA;Call center inoperante;OTRO;22
Ces-1072426571;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ninguno por el momento;SIN COMENTARIO;22
Ces-29670886;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ninguno por el momento;SIN COMENTARIO;22
1-36077901096;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ninguno por el momento;SIN COMENTARIO;22
1-36772972504;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;ninguno por el momento;SIN COMENTARIO;22
1689712157085-09;DETRACTOR;Certificaciones Especiales;CLASICO;ninguno por el momento;SIN COMENTARIO;22
1694011123311-41;DETRACTOR;Poderes Leasing;PREMIUM;ninguno por el momento;SIN COMENTARIO;22
1693241257954-44;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;ninguno por el momento;SIN COMENTARIO;22
1-38459659905;DETRACTOR;Copia De Documentos Cartera;CLASICO;ninguno por el momento;SIN COMENTARIO;22
1-37380404823;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;ninguno por el momento;SIN COMENTARIO;22
POL-45755215;DETRACTOR;Poderes Leasing Call Center;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1-39031956903;DETRACTOR;Copia De Documentos Cartera;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1689624397302-63;DETRACTOR;Levantamiento De Hipoteca;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1-42593314524;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
POL-6481773;DETRACTOR;Poderes Leasing Call Center;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1715180366488-97;DETRACTOR;Certificaciones Especiales;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1-43642153574;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1717621221458-59;DETRACTOR;Poderes Leasing;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1-43788892100;DETRACTOR;Copia De Documentos Cartera;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1714844038256-11;DETRACTOR;Certificaciones Especiales;INCLUSION;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1691768588938-79;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1-43088024359;DETRACTOR;Levantamiento Prenda Vehiculo;INCLUSION;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1-43549760509;DETRACTOR;Copia De Documentos Cartera;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1-44689235215;DETRACTOR;Poderes Leasing;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1720214149637-24;DETRACTOR;Poderes Leasing;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1717613500570-74;DETRACTOR;Certificaciones Especiales;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1711480830021-59;DETRACTOR;Levantamiento De Hipoteca;PREMIUM PLUS;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
POL-79810940;DETRACTOR;Poderes Leasing Call Center;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1722468128634-36;DETRACTOR;Poderes Leasing;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
01-79420341-6291;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
1712176654714-38;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;NINGUNO POR EL MOMENTO;SIN COMENTARIO;22
Ces-1072426571;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ninguno por el momento;SIN COMENTARIO;22
Ces-29670886;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ninguno momento el por;SIN COMENTARIO;22
1-36077901096;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ninguno por el momento;SIN COMENTARIO;22
1-36772972504;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;ninguno por el momento;SIN COMENTARIO;22
1689712157085-09;DETRACTOR;Certificaciones Especiales;CLASICO;el por ninguno momento;SIN COMENTARIO;22
1694011123311-41;DETRACTOR;Poderes Leasing;PREMIUM;ninguno por el momento;SIN COMENTARIO;22
1693241257954-44;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;ninguno por momento el;SIN COMENTARIO;22
1-38459659905;DETRACTOR;Copia De Documentos Cartera;CLASICO;ninguno por momento el;SIN COMENTARIO;22
1-37380404823;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;el por ninguno momento;SIN COMENTARIO;22
POL-45755215;DETRACTOR;Poderes Leasing Call Center;PREMIUM;ninguno por el momento;SIN COMENTARIO;22
1-39031956903;DETRACTOR;Copia De Documentos Cartera;PREMIUM;por ninguno el momento;SIN COMENTARIO;22
1689624397302-63;DETRACTOR;Levantamiento De Hipoteca;CLASICO;momento por el ninguno;SIN COMENTARIO;22
1-42593314524;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;ninguno por el momento;SIN COMENTARIO;22
POL-6481773;DETRACTOR;Poderes Leasing Call Center;CLASICO;ninguno por el momento;SIN COMENTARIO;22
1715180366488-97;DETRACTOR;Certificaciones Especiales;CLASICO;ninguno el por momento;SIN COMENTARIO;22
1-43642153574;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;ninguno por el momento;SIN COMENTARIO;22
1717621221458-59;DETRACTOR;Poderes Leasing;CLASICO;ninguno momento el por;SIN COMENTARIO;22
1-43788892100;DETRACTOR;Copia De Documentos Cartera;PREMIUM;ninguno por el momento;SIN COMENTARIO;22
1714844038256-11;DETRACTOR;Certificaciones Especiales;INCLUSION;ninguno por el momento;SIN COMENTARIO;22
1691768588938-79;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;por ninguno el momento;SIN COMENTARIO;22
1-43088024359;DETRACTOR;Levantamiento Prenda Vehiculo;INCLUSION;ninguno momento el por;SIN COMENTARIO;22
